GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PUMA5A,NAME_E,SX1E001,NAME_M,SX1M001
"G4700010","2013",,,"Tennessee","47","Anderson County","001",,,,,,,,,,,,,,,,,"Anderson County, Tennessee",22145,"Anderson County, Tennessee",1418
"G4700090","2013",,,"Tennessee","47","Blount County","009",,,,,,,,,,,,,,,,,"Blount County, Tennessee",24013,"Blount County, Tennessee",1580
"G4700110","2013",,,"Tennessee","47","Bradley County","011",,,,,,,,,,,,,,,,,"Bradley County, Tennessee",22381,"Bradley County, Tennessee",2006
"G4700370","2013",,,"Tennessee","47","Davidson County","037",,,,,,,,,,,,,,,,,"Davidson County, Tennessee",28440,"Davidson County, Tennessee",888
"G4700590","2013",,,"Tennessee","47","Greene County","059",,,,,,,,,,,,,,,,,"Greene County, Tennessee",18718,"Greene County, Tennessee",1186
"G4700650","2013",,,"Tennessee","47","Hamilton County","065",,,,,,,,,,,,,,,,,"Hamilton County, Tennessee",26929,"Hamilton County, Tennessee",1196
"G4700930","2013",,,"Tennessee","47","Knox County","093",,,,,,,,,,,,,,,,,"Knox County, Tennessee",28552,"Knox County, Tennessee",964
"G4701130","2013",,,"Tennessee","47","Madison County","113",,,,,,,,,,,,,,,,,"Madison County, Tennessee",25484,"Madison County, Tennessee",3615
"G4701190","2013",,,"Tennessee","47","Maury County","119",,,,,,,,,,,,,,,,,"Maury County, Tennessee",23147,"Maury County, Tennessee",1229
"G4701250","2013",,,"Tennessee","47","Montgomery County","125",,,,,,,,,,,,,,,,,"Montgomery County, Tennessee",22605,"Montgomery County, Tennessee",1352
"G4701410","2013",,,"Tennessee","47","Putnam County","141",,,,,,,,,,,,,,,,,"Putnam County, Tennessee",25738,"Putnam County, Tennessee",10030
"G4701470","2013",,,"Tennessee","47","Robertson County","147",,,,,,,,,,,,,,,,,"Robertson County, Tennessee",22412,"Robertson County, Tennessee",1531
"G4701490","2013",,,"Tennessee","47","Rutherford County","149",,,,,,,,,,,,,,,,,"Rutherford County, Tennessee",25247,"Rutherford County, Tennessee",1035
"G4701550","2013",,,"Tennessee","47","Sevier County","155",,,,,,,,,,,,,,,,,"Sevier County, Tennessee",21245,"Sevier County, Tennessee",1389
"G4701570","2013",,,"Tennessee","47","Shelby County","157",,,,,,,,,,,,,,,,,"Shelby County, Tennessee",25945,"Shelby County, Tennessee",717
"G4701630","2013",,,"Tennessee","47","Sullivan County","163",,,,,,,,,,,,,,,,,"Sullivan County, Tennessee",23418,"Sullivan County, Tennessee",1112
"G4701650","2013",,,"Tennessee","47","Sumner County","165",,,,,,,,,,,,,,,,,"Sumner County, Tennessee",27912,"Sumner County, Tennessee",1533
"G4701790","2013",,,"Tennessee","47","Washington County","179",,,,,,,,,,,,,,,,,"Washington County, Tennessee",25388,"Washington County, Tennessee",1698
"G4701870","2013",,,"Tennessee","47","Williamson County","187",,,,,,,,,,,,,,,,,"Williamson County, Tennessee",41750,"Williamson County, Tennessee",1981
"G4701890","2013",,,"Tennessee","47","Wilson County","189",,,,,,,,,,,,,,,,,"Wilson County, Tennessee",27113,"Wilson County, Tennessee",1548
"G4800050","2013",,,"Texas","48","Angelina County","005",,,,,,,,,,,,,,,,,"Angelina County, Texas",20566,"Angelina County, Texas",1715
"G4800210","2013",,,"Texas","48","Bastrop County","021",,,,,,,,,,,,,,,,,"Bastrop County, Texas",20572,"Bastrop County, Texas",1447
"G4800270","2013",,,"Texas","48","Bell County","027",,,,,,,,,,,,,,,,,"Bell County, Texas",22107,"Bell County, Texas",923
"G4800290","2013",,,"Texas","48","Bexar County","029",,,,,,,,,,,,,,,,,"Bexar County, Texas",23828,"Bexar County, Texas",393
"G4800370","2013",,,"Texas","48","Bowie County","037",,,,,,,,,,,,,,,,,"Bowie County, Texas",24282,"Bowie County, Texas",3224
"G4800390","2013",,,"Texas","48","Brazoria County","039",,,,,,,,,,,,,,,,,"Brazoria County, Texas",27854,"Brazoria County, Texas",1019
"G4800410","2013",,,"Texas","48","Brazos County","041",,,,,,,,,,,,,,,,,"Brazos County, Texas",22042,"Brazos County, Texas",1361
"G4800610","2013",,,"Texas","48","Cameron County","061",,,,,,,,,,,,,,,,,"Cameron County, Texas",15268,"Cameron County, Texas",831
"G4800850","2013",,,"Texas","48","Collin County","085",,,,,,,,,,,,,,,,,"Collin County, Texas",37906,"Collin County, Texas",1274
"G4800910","2013",,,"Texas","48","Comal County","091",,,,,,,,,,,,,,,,,"Comal County, Texas",32306,"Comal County, Texas",2118
"G4800990","2013",,,"Texas","48","Coryell County","099",,,,,,,,,,,,,,,,,"Coryell County, Texas",20182,"Coryell County, Texas",1472
"G4801130","2013",,,"Texas","48","Dallas County","113",,,,,,,,,,,,,,,,,"Dallas County, Texas",27433,"Dallas County, Texas",509
"G4801210","2013",,,"Texas","48","Denton County","121",,,,,,,,,,,,,,,,,"Denton County, Texas",34310,"Denton County, Texas",751
"G4801350","2013",,,"Texas","48","Ector County","135",,,,,,,,,,,,,,,,,"Ector County, Texas",26923,"Ector County, Texas",1640
"G4801390","2013",,,"Texas","48","Ellis County","139",,,,,,,,,,,,,,,,,"Ellis County, Texas",25261,"Ellis County, Texas",1269
"G4801410","2013",,,"Texas","48","El Paso County","141",,,,,,,,,,,,,,,,,"El Paso County, Texas",18340,"El Paso County, Texas",587
"G4801570","2013",,,"Texas","48","Fort Bend County","157",,,,,,,,,,,,,,,,,"Fort Bend County, Texas",36056,"Fort Bend County, Texas",1280
"G4801670","2013",,,"Texas","48","Galveston County","167",,,,,,,,,,,,,,,,,"Galveston County, Texas",30182,"Galveston County, Texas",1420
"G4801810","2013",,,"Texas","48","Grayson County","181",,,,,,,,,,,,,,,,,"Grayson County, Texas",23758,"Grayson County, Texas",1630
"G4801830","2013",,,"Texas","48","Gregg County","183",,,,,,,,,,,,,,,,,"Gregg County, Texas",25586,"Gregg County, Texas",2576
"G4801870","2013",,,"Texas","48","Guadalupe County","187",,,,,,,,,,,,,,,,,"Guadalupe County, Texas",25975,"Guadalupe County, Texas",1177
"G4802010","2013",,,"Texas","48","Harris County","201",,,,,,,,,,,,,,,,,"Harris County, Texas",28100,"Harris County, Texas",408
"G4802030","2013",,,"Texas","48","Harrison County","203",,,,,,,,,,,,,,,,,"Harrison County, Texas",23531,"Harrison County, Texas",5054
"G4802090","2013",,,"Texas","48","Hays County","209",,,,,,,,,,,,,,,,,"Hays County, Texas",27162,"Hays County, Texas",1390
"G4802130","2013",,,"Texas","48","Henderson County","213",,,,,,,,,,,,,,,,,"Henderson County, Texas",21763,"Henderson County, Texas",3091
"G4802150","2013",,,"Texas","48","Hidalgo County","215",,,,,,,,,,,,,,,,,"Hidalgo County, Texas",14305,"Hidalgo County, Texas",571
"G4802310","2013",,,"Texas","48","Hunt County","231",,,,,,,,,,,,,,,,,"Hunt County, Texas",21435,"Hunt County, Texas",1632
"G4802450","2013",,,"Texas","48","Jefferson County","245",,,,,,,,,,,,,,,,,"Jefferson County, Texas",23381,"Jefferson County, Texas",1967
"G4802510","2013",,,"Texas","48","Johnson County","251",,,,,,,,,,,,,,,,,"Johnson County, Texas",24119,"Johnson County, Texas",1308
"G4802570","2013",,,"Texas","48","Kaufman County","257",,,,,,,,,,,,,,,,,"Kaufman County, Texas",25073,"Kaufman County, Texas",1312
"G4802910","2013",,,"Texas","48","Liberty County","291",,,,,,,,,,,,,,,,,"Liberty County, Texas",19346,"Liberty County, Texas",1801
"G4803030","2013",,,"Texas","48","Lubbock County","303",,,,,,,,,,,,,,,,,"Lubbock County, Texas",24562,"Lubbock County, Texas",1005
"G4803090","2013",,,"Texas","48","McLennan County","309",,,,,,,,,,,,,,,,,"McLennan County, Texas",22217,"McLennan County, Texas",1511
"G4803290","2013",,,"Texas","48","Midland County","329",,,,,,,,,,,,,,,,,"Midland County, Texas",37771,"Midland County, Texas",3512
"G4803390","2013",,,"Texas","48","Montgomery County","339",,,,,,,,,,,,,,,,,"Montgomery County, Texas",32731,"Montgomery County, Texas",1404
"G4803470","2013",,,"Texas","48","Nacogdoches County","347",,,,,,,,,,,,,,,,,"Nacogdoches County, Texas",21551,"Nacogdoches County, Texas",2639
"G4803550","2013",,,"Texas","48","Nueces County","355",,,,,,,,,,,,,,,,,"Nueces County, Texas",24095,"Nueces County, Texas",1009
"G4803610","2013",,,"Texas","48","Orange County","361",,,,,,,,,,,,,,,,,"Orange County, Texas",26647,"Orange County, Texas",2211
"G4803670","2013",,,"Texas","48","Parker County","367",,,,,,,,,,,,,,,,,"Parker County, Texas",28457,"Parker County, Texas",1905
"G4803750","2013",,,"Texas","48","Potter County","375",,,,,,,,,,,,,,,,,"Potter County, Texas",22119,"Potter County, Texas",3432
"G4803810","2013",,,"Texas","48","Randall County","381",,,,,,,,,,,,,,,,,"Randall County, Texas",30089,"Randall County, Texas",1583
"G4803970","2013",,,"Texas","48","Rockwall County","397",,,,,,,,,,,,,,,,,"Rockwall County, Texas",36423,"Rockwall County, Texas",2958
"G4804090","2013",,,"Texas","48","San Patricio County","409",,,,,,,,,,,,,,,,,"San Patricio County, Texas",21786,"San Patricio County, Texas",1791
"G4804230","2013",,,"Texas","48","Smith County","423",,,,,,,,,,,,,,,,,"Smith County, Texas",24752,"Smith County, Texas",1593
"G4804390","2013",,,"Texas","48","Tarrant County","439",,,,,,,,,,,,,,,,,"Tarrant County, Texas",28701,"Tarrant County, Texas",565
"G4804410","2013",,,"Texas","48","Taylor County","441",,,,,,,,,,,,,,,,,"Taylor County, Texas",22478,"Taylor County, Texas",1527
"G4804510","2013",,,"Texas","48","Tom Green County","451",,,,,,,,,,,,,,,,,"Tom Green County, Texas",24753,"Tom Green County, Texas",2080
"G4804530","2013",,,"Texas","48","Travis County","453",,,,,,,,,,,,,,,,,"Travis County, Texas",33816,"Travis County, Texas",820
"G4804690","2013",,,"Texas","48","Victoria County","469",,,,,,,,,,,,,,,,,"Victoria County, Texas",24963,"Victoria County, Texas",1575
"G4804710","2013",,,"Texas","48","Walker County","471",,,,,,,,,,,,,,,,,"Walker County, Texas",16135,"Walker County, Texas",2682
"G4804790","2013",,,"Texas","48","Webb County","479",,,,,,,,,,,,,,,,,"Webb County, Texas",14625,"Webb County, Texas",742
"G4804850","2013",,,"Texas","48","Wichita County","485",,,,,,,,,,,,,,,,,"Wichita County, Texas",21853,"Wichita County, Texas",1312
"G4804910","2013",,,"Texas","48","Williamson County","491",,,,,,,,,,,,,,,,,"Williamson County, Texas",31481,"Williamson County, Texas",1064
"G4900050","2013",,,"Utah","49","Cache County","005",,,,,,,,,,,,,,,,,"Cache County, Utah",19495,"Cache County, Utah",1179
"G4900110","2013",,,"Utah","49","Davis County","011",,,,,,,,,,,,,,,,,"Davis County, Utah",25323,"Davis County, Utah",962
"G4900350","2013",,,"Utah","49","Salt Lake County","035",,,,,,,,,,,,,,,,,"Salt Lake County, Utah",27196,"Salt Lake County, Utah",546
"G4900490","2013",,,"Utah","49","Utah County","049",,,,,,,,,,,,,,,,,"Utah County, Utah",20938,"Utah County, Utah",585
"G4900530","2013",,,"Utah","49","Washington County","053",,,,,,,,,,,,,,,,,"Washington County, Utah",23122,"Washington County, Utah",1619
"G4900570","2013",,,"Utah","49","Weber County","057",,,,,,,,,,,,,,,,,"Weber County, Utah",22479,"Weber County, Utah",814
"G5000070","2013",,,"Vermont","50","Chittenden County","007",,,,,,,,,,,,,,,,,"Chittenden County, Vermont",34004,"Chittenden County, Vermont",2098
"G5100030","2013",,,"Virginia","51","Albemarle County","003",,,,,,,,,,,,,,,,,"Albemarle County, Virginia",35105,"Albemarle County, Virginia",2340
"G5100130","2013",,,"Virginia","51","Arlington County","013",,,,,,,,,,,,,,,,,"Arlington County, Virginia",64298,"Arlington County, Virginia",2518
"G5100150","2013",,,"Virginia","51","Augusta County","015",,,,,,,,,,,,,,,,,"Augusta County, Virginia",33074,"Augusta County, Virginia",5243
"G5100190","2013",,,"Virginia","51","Bedford County","019",,,,,,,,,,,,,,,,,"Bedford County, Virginia",29223,"Bedford County, Virginia",2559
"G5100410","2013",,,"Virginia","51","Chesterfield County","041",,,,,,,,,,,,,,,,,"Chesterfield County, Virginia",31917,"Chesterfield County, Virginia",1393
"G5100590","2013",,,"Virginia","51","Fairfax County","059",,,,,,,,,,,,,,,,,"Fairfax County, Virginia",49335,"Fairfax County, Virginia",904
"G5100610","2013",,,"Virginia","51","Fauquier County","061",,,,,,,,,,,,,,,,,"Fauquier County, Virginia",38028,"Fauquier County, Virginia",2815
"G5100690","2013",,,"Virginia","51","Frederick County","069",,,,,,,,,,,,,,,,,"Frederick County, Virginia",30113,"Frederick County, Virginia",2337
"G5100850","2013",,,"Virginia","51","Hanover County","085",,,,,,,,,,,,,,,,,"Hanover County, Virginia",33282,"Hanover County, Virginia",1681
"G5100870","2013",,,"Virginia","51","Henrico County","087",,,,,,,,,,,,,,,,,"Henrico County, Virginia",31853,"Henrico County, Virginia",980
"G5100950","2013",,,"Virginia","51","James City County","095",,,,,,,,,,,,,,,,,"James City County, Virginia",38353,"James City County, Virginia",2871
"G5101070","2013",,,"Virginia","51","Loudoun County","107",,,,,,,,,,,,,,,,,"Loudoun County, Virginia",44684,"Loudoun County, Virginia",1313
"G5101210","2013",,,"Virginia","51","Montgomery County","121",,,,,,,,,,,,,,,,,"Montgomery County, Virginia",23247,"Montgomery County, Virginia",1700
"G5101530","2013",,,"Virginia","51","Prince William County","153",,,,,,,,,,,,,,,,,"Prince William County, Virginia",36725,"Prince William County, Virginia",802
"G5101610","2013",,,"Virginia","51","Roanoke County","161",,,,,,,,,,,,,,,,,"Roanoke County, Virginia",30785,"Roanoke County, Virginia",2395
"G5101650","2013",,,"Virginia","51","Rockingham County","165",,,,,,,,,,,,,,,,,"Rockingham County, Virginia",27353,"Rockingham County, Virginia",3709
"G5101770","2013",,,"Virginia","51","Spotsylvania County","177",,,,,,,,,,,,,,,,,"Spotsylvania County, Virginia",30439,"Spotsylvania County, Virginia",1072
"G5101790","2013",,,"Virginia","51","Stafford County","179",,,,,,,,,,,,,,,,,"Stafford County, Virginia",35259,"Stafford County, Virginia",1533
"G5101990","2013",,,"Virginia","51","York County","199",,,,,,,,,,,,,,,,,"York County, Virginia",34692,"York County, Virginia",1828
"G5105100","2013",,,"Virginia","51","Alexandria city","510",,,,,,,,,,,,,,,,,"Alexandria city, Virginia",52320,"Alexandria city, Virginia",2126
"G5105500","2013",,,"Virginia","51","Chesapeake city","550",,,,,,,,,,,,,,,,,"Chesapeake city, Virginia",29246,"Chesapeake city, Virginia",1175
"G5106500","2013",,,"Virginia","51","Hampton city","650",,,,,,,,,,,,,,,,,"Hampton city, Virginia",23846,"Hampton city, Virginia",1282
"G5106800","2013",,,"Virginia","51","Lynchburg city","680",,,,,,,,,,,,,,,,,"Lynchburg city, Virginia",20397,"Lynchburg city, Virginia",1829
"G5107000","2013",,,"Virginia","51","Newport News city","700",,,,,,,,,,,,,,,,,"Newport News city, Virginia",23754,"Newport News city, Virginia",944
"G5107100","2013",,,"Virginia","51","Norfolk city","710",,,,,,,,,,,,,,,,,"Norfolk city, Virginia",23510,"Norfolk city, Virginia",980
"G5107400","2013",,,"Virginia","51","Portsmouth city","740",,,,,,,,,,,,,,,,,"Portsmouth city, Virginia",21671,"Portsmouth city, Virginia",1079
"G5107600","2013",,,"Virginia","51","Richmond city","760",,,,,,,,,,,,,,,,,"Richmond city, Virginia",26540,"Richmond city, Virginia",1388
"G5107700","2013",,,"Virginia","51","Roanoke city","770",,,,,,,,,,,,,,,,,"Roanoke city, Virginia",22861,"Roanoke city, Virginia",1529
"G5108000","2013",,,"Virginia","51","Suffolk city","800",,,,,,,,,,,,,,,,,"Suffolk city, Virginia",28461,"Suffolk city, Virginia",1446
"G5108100","2013",,,"Virginia","51","Virginia Beach city","810",,,,,,,,,,,,,,,,,"Virginia Beach city, Virginia",31973,"Virginia Beach city, Virginia",1005
"G5300050","2013",,,"Washington","53","Benton County","005",,,,,,,,,,,,,,,,,"Benton County, Washington",28489,"Benton County, Washington",1386
"G5300070","2013",,,"Washington","53","Chelan County","007",,,,,,,,,,,,,,,,,"Chelan County, Washington",24868,"Chelan County, Washington",2110
"G5300090","2013",,,"Washington","53","Clallam County","009",,,,,,,,,,,,,,,,,"Clallam County, Washington",26611,"Clallam County, Washington",1485
"G5300110","2013",,,"Washington","53","Clark County","011",,,,,,,,,,,,,,,,,"Clark County, Washington",27416,"Clark County, Washington",714
"G5300150","2013",,,"Washington","53","Cowlitz County","015",,,,,,,,,,,,,,,,,"Cowlitz County, Washington",23743,"Cowlitz County, Washington",1604
"G5300210","2013",,,"Washington","53","Franklin County","021",,,,,,,,,,,,,,,,,"Franklin County, Washington",18581,"Franklin County, Washington",1240
"G5300250","2013",,,"Washington","53","Grant County","025",,,,,,,,,,,,,,,,,"Grant County, Washington",18590,"Grant County, Washington",1015
"G5300270","2013",,,"Washington","53","Grays Harbor County","027",,,,,,,,,,,,,,,,,"Grays Harbor County, Washington",20300,"Grays Harbor County, Washington",1558
"G5300290","2013",,,"Washington","53","Island County","029",,,,,,,,,,,,,,,,,"Island County, Washington",30887,"Island County, Washington",2518
"G5300330","2013",,,"Washington","53","King County","033",,,,,,,,,,,,,,,,,"King County, Washington",40372,"King County, Washington",703
"G5300350","2013",,,"Washington","53","Kitsap County","035",,,,,,,,,,,,,,,,,"Kitsap County, Washington",31987,"Kitsap County, Washington",1291
"G5300410","2013",,,"Washington","53","Lewis County","041",,,,,,,,,,,,,,,,,"Lewis County, Washington",20662,"Lewis County, Washington",1568
"G5300530","2013",,,"Washington","53","Pierce County","053",,,,,,,,,,,,,,,,,"Pierce County, Washington",27968,"Pierce County, Washington",594
"G5300570","2013",,,"Washington","53","Skagit County","057",,,,,,,,,,,,,,,,,"Skagit County, Washington",26906,"Skagit County, Washington",1717
"G5300610","2013",,,"Washington","53","Snohomish County","061",,,,,,,,,,,,,,,,,"Snohomish County, Washington",31777,"Snohomish County, Washington",809
"G5300630","2013",,,"Washington","53","Spokane County","063",,,,,,,,,,,,,,,,,"Spokane County, Washington",24804,"Spokane County, Washington",714
"G5300670","2013",,,"Washington","53","Thurston County","067",,,,,,,,,,,,,,,,,"Thurston County, Washington",28429,"Thurston County, Washington",954
"G5300730","2013",,,"Washington","53","Whatcom County","073",,,,,,,,,,,,,,,,,"Whatcom County, Washington",25624,"Whatcom County, Washington",1243
"G5300770","2013",,,"Washington","53","Yakima County","077",,,,,,,,,,,,,,,,,"Yakima County, Washington",18387,"Yakima County, Washington",831
"G5400030","2013",,,"West Virginia","54","Berkeley County","003",,,,,,,,,,,,,,,,,"Berkeley County, West Virginia",25269,"Berkeley County, West Virginia",1819
"G5400110","2013",,,"West Virginia","54","Cabell County","011",,,,,,,,,,,,,,,,,"Cabell County, West Virginia",24987,"Cabell County, West Virginia",2723
"G5400330","2013",,,"West Virginia","54","Harrison County","033",,,,,,,,,,,,,,,,,"Harrison County, West Virginia",24628,"Harrison County, West Virginia",2409
"G5400390","2013",,,"West Virginia","54","Kanawha County","039",,,,,,,,,,,,,,,,,"Kanawha County, West Virginia",28322,"Kanawha County, West Virginia",1681
"G5400610","2013",,,"West Virginia","54","Monongalia County","061",,,,,,,,,,,,,,,,,"Monongalia County, West Virginia",25902,"Monongalia County, West Virginia",1727
"G5400810","2013",,,"West Virginia","54","Raleigh County","081",,,,,,,,,,,,,,,,,"Raleigh County, West Virginia",21075,"Raleigh County, West Virginia",1435
"G5401070","2013",,,"West Virginia","54","Wood County","107",,,,,,,,,,,,,,,,,"Wood County, West Virginia",23543,"Wood County, West Virginia",1247
"G5500090","2013",,,"Wisconsin","55","Brown County","009",,,,,,,,,,,,,,,,,"Brown County, Wisconsin",27742,"Brown County, Wisconsin",1467
"G5500250","2013",,,"Wisconsin","55","Dane County","025",,,,,,,,,,,,,,,,,"Dane County, Wisconsin",33873,"Dane County, Wisconsin",1036
"G5500270","2013",,,"Wisconsin","55","Dodge County","027",,,,,,,,,,,,,,,,,"Dodge County, Wisconsin",23426,"Dodge County, Wisconsin",928
"G5500350","2013",,,"Wisconsin","55","Eau Claire County","035",,,,,,,,,,,,,,,,,"Eau Claire County, Wisconsin",24773,"Eau Claire County, Wisconsin",1156
"G5500390","2013",,,"Wisconsin","55","Fond du Lac County","039",,,,,,,,,,,,,,,,,"Fond du Lac County, Wisconsin",26907,"Fond du Lac County, Wisconsin",1298
"G5500550","2013",,,"Wisconsin","55","Jefferson County","055",,,,,,,,,,,,,,,,,"Jefferson County, Wisconsin",26907,"Jefferson County, Wisconsin",2157
"G5500590","2013",,,"Wisconsin","55","Kenosha County","059",,,,,,,,,,,,,,,,,"Kenosha County, Wisconsin",25512,"Kenosha County, Wisconsin",1472
"G5500630","2013",,,"Wisconsin","55","La Crosse County","063",,,,,,,,,,,,,,,,,"La Crosse County, Wisconsin",26065,"La Crosse County, Wisconsin",1457
"G5500710","2013",,,"Wisconsin","55","Manitowoc County","071",,,,,,,,,,,,,,,,,"Manitowoc County, Wisconsin",26559,"Manitowoc County, Wisconsin",1596
"G5500730","2013",,,"Wisconsin","55","Marathon County","073",,,,,,,,,,,,,,,,,"Marathon County, Wisconsin",27093,"Marathon County, Wisconsin",1308
"G5500790","2013",,,"Wisconsin","55","Milwaukee County","079",,,,,,,,,,,,,,,,,"Milwaukee County, Wisconsin",24277,"Milwaukee County, Wisconsin",485
"G5500870","2013",,,"Wisconsin","55","Outagamie County","087",,,,,,,,,,,,,,,,,"Outagamie County, Wisconsin",27396,"Outagamie County, Wisconsin",1182
"G5500890","2013",,,"Wisconsin","55","Ozaukee County","089",,,,,,,,,,,,,,,,,"Ozaukee County, Wisconsin",39590,"Ozaukee County, Wisconsin",4000
"G5500970","2013",,,"Wisconsin","55","Portage County","097",,,,,,,,,,,,,,,,,"Portage County, Wisconsin",24320,"Portage County, Wisconsin",1351
"G5501010","2013",,,"Wisconsin","55","Racine County","101",,,,,,,,,,,,,,,,,"Racine County, Wisconsin",27391,"Racine County, Wisconsin",1017
"G5501050","2013",,,"Wisconsin","55","Rock County","105",,,,,,,,,,,,,,,,,"Rock County, Wisconsin",23843,"Rock County, Wisconsin",951
"G5501090","2013",,,"Wisconsin","55","St. Croix County","109",,,,,,,,,,,,,,,,,"St. Croix County, Wisconsin",33387,"St. Croix County, Wisconsin",2604
"G5501170","2013",,,"Wisconsin","55","Sheboygan County","117",,,,,,,,,,,,,,,,,"Sheboygan County, Wisconsin",25317,"Sheboygan County, Wisconsin",1071
"G5501270","2013",,,"Wisconsin","55","Walworth County","127",,,,,,,,,,,,,,,,,"Walworth County, Wisconsin",27480,"Walworth County, Wisconsin",1451
"G5501310","2013",,,"Wisconsin","55","Washington County","131",,,,,,,,,,,,,,,,,"Washington County, Wisconsin",31869,"Washington County, Wisconsin",1575
"G5501330","2013",,,"Wisconsin","55","Waukesha County","133",,,,,,,,,,,,,,,,,"Waukesha County, Wisconsin",37430,"Waukesha County, Wisconsin",1052
"G5501390","2013",,,"Wisconsin","55","Winnebago County","139",,,,,,,,,,,,,,,,,"Winnebago County, Wisconsin",26499,"Winnebago County, Wisconsin",1214
"G5501410","2013",,,"Wisconsin","55","Wood County","141",,,,,,,,,,,,,,,,,"Wood County, Wisconsin",27504,"Wood County, Wisconsin",2726
"G5600210","2013",,,"Wyoming","56","Laramie County","021",,,,,,,,,,,,,,,,,"Laramie County, Wyoming",28761,"Laramie County, Wyoming",1745
"G5600250","2013",,,"Wyoming","56","Natrona County","025",,,,,,,,,,,,,,,,,"Natrona County, Wyoming",31145,"Natrona County, Wyoming",2130
"G7200130","2013",,,"Puerto Rico","72","Arecibo Municipio","013",,,,,,,,,,,,,,,,,"Arecibo Municipio, Puerto Rico",9043,"Arecibo Municipio, Puerto Rico",840
"G7200210","2013",,,"Puerto Rico","72","Bayamón Municipio","021",,,,,,,,,,,,,,,,,"Bayamón Municipio, Puerto Rico",13568,"Bayamón Municipio, Puerto Rico",1292
"G7200250","2013",,,"Puerto Rico","72","Caguas Municipio","025",,,,,,,,,,,,,,,,,"Caguas Municipio, Puerto Rico",12769,"Caguas Municipio, Puerto Rico",783
"G7200310","2013",,,"Puerto Rico","72","Carolina Municipio","031",,,,,,,,,,,,,,,,,"Carolina Municipio, Puerto Rico",14412,"Carolina Municipio, Puerto Rico",883
"G7200610","2013",,,"Puerto Rico","72","Guaynabo Municipio","061",,,,,,,,,,,,,,,,,"Guaynabo Municipio, Puerto Rico",22972,"Guaynabo Municipio, Puerto Rico",2298
"G7200970","2013",,,"Puerto Rico","72","Mayagüez Municipio","097",,,,,,,,,,,,,,,,,"Mayagüez Municipio, Puerto Rico",9973,"Mayagüez Municipio, Puerto Rico",1170
"G7201130","2013",,,"Puerto Rico","72","Ponce Municipio","113",,,,,,,,,,,,,,,,,"Ponce Municipio, Puerto Rico",9797,"Ponce Municipio, Puerto Rico",751
"G7201270","2013",,,"Puerto Rico","72","San Juan Municipio","127",,,,,,,,,,,,,,,,,"San Juan Municipio, Puerto Rico",16459,"San Juan Municipio, Puerto Rico",728
"G7201350","2013",,,"Puerto Rico","72","Toa Alta Municipio","135",,,,,,,,,,,,,,,,,"Toa Alta Municipio, Puerto Rico",13383,"Toa Alta Municipio, Puerto Rico",1417
"G7201370","2013",,,"Puerto Rico","72","Toa Baja Municipio","137",,,,,,,,,,,,,,,,,"Toa Baja Municipio, Puerto Rico",11547,"Toa Baja Municipio, Puerto Rico",968
"G7201390","2013",,,"Puerto Rico","72","Trujillo Alto Municipio","139",,,,,,,,,,,,,,,,,"Trujillo Alto Municipio, Puerto Rico",15086,"Trujillo Alto Municipio, Puerto Rico",1863
