ID,TIRE,TPOP,NGRW,PGRW,OCTY,OPOP,LANDV,ELD,FFRAC,PINC,LNHDD
260003,3,3.0829999,-0.59399998,0,0.419,0.46220002,0.43000001,0.1301897,0.037999999,5.4699998,8.8431826
260095,4,2.1199999,-0.214,0,0.132,0.44159999,0.43900001,0.1369575,0.02,5.3010001,8.8315659
260153,3,3.9619999,-0.36199999,0,0.25799999,0.28510001,0.37099999,0.15393586,0.018999999,5.283,8.8315659
270077,1,1.17,-0.377,0,0.26300001,0.14219999,0.322,0.16471839,0.149,5.1750002,9.2003908
300001,2,3.9760001,-0.57200003,0,0.113,0.058900002,0.206,0.12069387,0.44,5.9130001,9.1708717
300009,0,1.896,0,0.052000001,0.58999997,0.2262,0.34099999,0.17718236,0.47099999,5.7280002,8.883502
300011,0,0.62,-0.043000001,0,0.018999999,0.027489999,0.11,0.15175097,0.73900002,5.1020002,8.883502
300015,2,1.693,-0.17,0,0.252,0.08247,0.234,0.13066317,0.94400001,6.684,8.9575109
300017,4,9.6020002,0,0.579,0.235,0.37513,0.113,0.13227554,0.94099998,6.5139999,8.883502
300019,1,1.382,-0.104,0,0.044,0.058119997,0.25600001,0.1601411,0.92500001,6.006,8.883502
300025,1,2.3540001,-0.23,0,0.064000003,0.063620001,0.14399999,0.10496944,0.85500002,6.5890002,8.883502
300027,4,7.1040001,0,0.667,0.15899999,0.41870999,0.18799999,0.16167024,0.77899998,5.6389999,8.9575109
300033,0,0.48500001,-0.044,0,0.046,0.016489999,0.102,0.10869565,0.72000003,5.4990001,8.883502
300037,0,0.273,0,0.012,0.052999999,0.034560002,0.145,0.14327486,0.86699998,4.4749999,8.883502
300039,1,1.138,0,0.01,0.079999998,0.067539997,0.23899999,0.14296296,0.31400001,5.8449998,8.9668665
300051,2,0.963,0,0.027000001,0.027000001,0.05184,0.244,0.11249463,0.98500001,6.8969998,8.9575109
300055,2,0.93099999,-0.033,0,0.085000001,0.050269999,0.164,0.10288675,0.801,4.7459998,8.883502
300057,2,0.66000003,0,0.15899999,0.186,0.05105,0.241,0.16391337,0.48199999,5.585,9.1708717
300059,0,1.302,0,0.102,0.039999999,0.03613,0.126,0.12906221,0.653,5.8540001,8.9575109
300061,2,1.054,0,0.061000001,0.12800001,0.1288,0.68599999,0.09088435,0.026000001,5.9530001,8.9668665
300065,2,2.119,0,0.003,0.21799999,0.096599996,0.14300001,0.15718158,0.94499999,5.3470001,8.883502
300069,0,0.207,-0.064000003,0,0.02,0.02121,0.090000004,0.10076336,0.66900003,5.5019999,8.883502
300071,1,2.3670001,0,0.17200001,0.105,0.043979999,0.125,0.1367617,0.62300003,5.1589999,8.9575109
300079,0,0.92900002,0,0.059,0.059999999,0.029059999,0.133,0.17864923,0.64099997,4.2880001,8.883502
300085,0,3.0739999,-0.021,0,0.22,0.80157,0.19,0.10127066,0.972,5.7410002,8.883502
300086,1,0.88700002,0,0.066,0.22,0.80157,0.19,0.10127066,0.972,5.7410002,8.883502
300087,1,2.553,0,0.68000001,0.046,0.1123,0.106,0.059197899,0.95200002,6.1799998,8.883502
300091,2,2.4760001,0,0.094999999,0.085000001,0.121,0.228,0.15441447,0.99900001,6.7789998,8.883502
300097,0,1.6900001,0,0.097999997,0.079999998,0.060479999,0.15099999,0.18905473,0.69999999,5.6890001,8.883502
300105,6,4.4549999,-0.245,0,0.164,0.78075999,0.177,0.11307317,0.66900003,6.1869998,8.883502
300107,1,1.181,-0.19400001,0,0.023,0.06205,0.12899999,0.15472658,0.92900002,5.6360002,8.883502
310005,0,0.124,-0.050999999,0,0.017000001,0.043200001,0.114,0.14814815,1.166,6.598,8.7767839
310015,1,0.52899998,-0.046,0,0.108,0.52469999,0.273,0.22125489,0.85100001,4.5419998,8.7767839
310033,6,6.0100002,-0.39300001,0,0.27599999,1.11048,0.33000001,0.15581188,1.049,6.8049998,8.7767839
310041,2,3.9790001,0,0.245,0.31099999,1.24928,0.336,0.1963681,0.93599999,6.0250001,8.7767839
310045,3,5.9330001,0,0.012,0.42199999,0.53092998,0.193,0.14611302,0.83600003,6.0310001,8.7767839
310057,0,1.235,-0.114,0,0.083999999,0.1257,0.31400001,0.20727019,0.92199999,6.0609999,8.7767839
310069,1,1.057,-0.01,0,0.072999999,0.057330001,0.20100001,0.22091363,0.93699998,6.5710001,8.7767839
310091,0,0.72000003,0,0.052999999,0.024,0.01963,0.096000001,0.19191919,0.71499997,4.9689999,8.7767839
310095,1,4.8850002,-0.38,0,0.461,2.08777,0.91000003,0.20627482,0.898,6.3189998,8.6939993
310101,2,5.638,0,0.662,0.273,0.23089999,0.442,0.13615976,1.041,6.723,8.7767839
310105,3,3.1199999,-0.56,0,0.164,0.073040001,0.25799999,0.13867268,0.91900003,6.5440001,8.7767839
320007,4,1.2180001,0,0.13699999,0.25099999,0.15379,0.112,0.089350857,0.26699999,7.263,8.7045021
320008,6,8.7580004,0,1.137,0.25099999,0.10379,0.112,0.089350857,0.26699999,7.263,8.7045021
320011,0,0.5,-0.046999998,0,0.055,0.013350001,0.20299999,0.066777967,0.112,5.8130002,8.7045021
320013,4,4.1399999,0,0.55299997,0.192,0.04163,0.234,0.073881708,0.16,6.8759999,8.7045021
320015,2,2.7490001,0,0.89300001,0.033,0.018059999,0.106,0.05323847,0.167,7.2540002,8.7045021
320017,0,0.69999999,0,0.059,0.059,0.05728,0.44100001,0.12808146,0.008,5.5819998,7.8367648
320021,1,3.7409999,0,0.20200001,0.089000002,0.05184,0.35600001,0.10760817,0.13600001,6.1529999,8.6597338
320023,4,1.952,0,0.236,0.32100001,0.03142,0.242,0.090406723,0.035,7.1690001,7.8367648
320027,3,1.6799999,0,0.109,0.147,0.021989999,0.15700001,0.11443662,0.163,6.5910001,8.7045021
320033,2,4.882,0,0.70599997,0.14300001,0.14475,0.219,0.12048488,0.044,7.079,8.7045021
350003,0,0.43900001,0,0.085000001,0.046,0.021989999,0.092,0.13529412,0.34299999,4.6950002,8.3925362
350005,10,39.675999,0,5.7680001,0.78200001,0.47573,0.12800001,0.14114632,0.79900002,5.8280001,8.0475092
350011,0,1.421,-0.19400001,0,0.068000004,0.034560002,0.079000004,0.21026894,0.88599998,5.1869998,8.0475092
350013,13,45.085999,0,7.2290001,3.1129999,4.4661403,0.648,0.072067678,0.17,5.2839999,8.0258436
350015,4,10.385,0,0.07,0.611,0.99823999,0.23800001,0.12531605,0.324,6.0570002,7.9490914
350019,5,2.4690001,-0.016000001,0,0.059999999,0.2393,0.090000004,0.1216637,0.90700001,3.8499999,8.7620201
350021,0,0.38100001,-0.094999999,0,0.033,0.033769999,0.088,0.17522936,0.95300001,5.2670002,7.6381984
350023,2,3.1949999,-0.234,0,0.22499999,0.065190002,0.14300001,0.0927426,0.75,5.2420001,8.0258436
350029,9,9.9639997,0,1.6210001,0.237,0.54109997,0.152,0.16843118,0.52200001,4.79,8.0258436
350031,12,18.160999,0,3.5650001,1.3049999,1.7027299,0.072999999,0.049212564,0.935,4.1960001,8.3925362
350037,9,6.7649999,-0.42399999,0,0.132,0.23675999,0.119,0.15656613,0.98199999,5.5609999,7.6381984
350051,3,5.2189999,0,0.56300002,0.054000001,0.1397,0.097000003,0.29500827,0.528,4.6370001,8.0258436
350053,7,7.5760002,0,2.8889999,0.155,0.34893,0.117,0.088492759,0.44800001,4.4689999,8.3925362
350059,2,2.9679999,0,0.037,0.044,0.205,0.125,0.17206348,0.93300003,5.9569998,8.7620201
360041,0,1.159,0,0.046999998,0.39500001,0.14839999,1.635,0.16626936,0,5.4689999,8.9049015
370095,1,0.60000002,0,0.1,0.28099999,0.3536,0.93900001,0.15085986,0.237,4.2950001,8.0811653
370177,0,0.75800002,-0.14399999,0,0.354,0.26429999,0.89899999,0.15018868,0.226,4.1389999,8.0811653
380011,3,2.0710001,0,0.30899999,0.112,0.1052,0.2,0.13502009,0.99699998,6.1950002,9.1132784
380019,2,2.335,0,0.153,0.227,0.26389998,0.48500001,0.17050812,0.95499998,6.1069999,9.198369
380023,2,1.469,-0.075999998,0,0.11,0.1013,0.25799999,0.20177448,0.89200002,6.2350001,9.1500597
